product_id;status;current_handle;new_handle;rule;variant_count;variant_skus
15359989055818;ACTIVE;35175914840-703;35.175.914.84x;multi_variant_suffix_x;2;35.175.914.840,35.175.914.841
15360018973002;ACTIVE;35175114840-975;35.175.114.84x;multi_variant_suffix_x;2;35.175.114.840,35.175.114.841
15360053576010;ACTIVE;35174114840-1315;35.174.114.84x;multi_variant_suffix_x;2;35.174.114.840,35.174.114.841
15360087032138;ACTIVE;35173314840-1587;35.173.314.84x;multi_variant_suffix_x;2;35.173.314.840,35.173.314.841
15360165151050;ACTIVE;35170414840-2367;35.170.414.84x;multi_variant_suffix_x;2;35.170.414.840,35.170.414.841
15360180748618;ACTIVE;35169614840-2571;35.169.614.84x;multi_variant_suffix_x;2;35.169.614.840,35.169.614.841
15359989121354;ACTIVE;35175914328-704;35.175.914.32x;multi_variant_suffix_x;2;35.175.914.328,35.175.914.329
15360019038538;ACTIVE;35175114328-976;35.175.114.32x;multi_variant_suffix_x;2;35.175.114.328,35.175.114.329
15360053674314;ACTIVE;35174114328-1316;35.174.114.32x;multi_variant_suffix_x;2;35.174.114.328,35.174.114.329
15360087163210;ACTIVE;35173314328-1588;35.173.314.32x;multi_variant_suffix_x;2;35.173.314.328,35.173.314.329
15360165282122;ACTIVE;35170414328-2368;35.170.414.32x;multi_variant_suffix_x;2;35.170.414.328,35.170.414.329
15360180814154;ACTIVE;35169614328-2572;35.169.614.32x;multi_variant_suffix_x;2;35.169.614.328,35.169.614.329
15359989383498;ACTIVE;35175914165-707;35.175.914.16x;multi_variant_suffix_x;3;35.175.914.165,35.175.914.166,35.175.914.167
15360019202378;ACTIVE;35175114165-979;35.175.114.16x;multi_variant_suffix_x;3;35.175.114.165,35.175.114.166,35.175.114.167
15360053969226;ACTIVE;35174114165-1319;35.174.114.16x;multi_variant_suffix_x;3;35.174.114.165,35.174.114.166,35.174.114.167
15360087523658;ACTIVE;35173314165-1591;35.173.314.16x;multi_variant_suffix_x;3;35.173.314.165,35.173.314.166,35.173.314.167
15360165675338;ACTIVE;35170414165-2371;35.170.414.16x;multi_variant_suffix_x;3;35.170.414.165,35.170.414.166,35.170.414.167
15360180912458;ACTIVE;35169614165-2575;35.169.614.16x;multi_variant_suffix_x;3;35.169.614.165,35.169.614.166,35.169.614.167
15359989776714;ACTIVE;35175914175-711;35.175.914.17x;multi_variant_suffix_x;5;35.175.914.175,35.175.914.176,35.175.914.177,35.175.914.178,35.175.914.179
15360019562826;ACTIVE;35175114175-983;35.175.114.17x;multi_variant_suffix_x;5;35.175.114.175,35.175.114.176,35.175.114.177,35.175.114.178,35.175.114.179
