id,handle,title,fits_on,fits_on_year,fits_on_make,fits_on_model,fits_on_year_new,fits_on_make_new,fits_on_model_new,ymm_summary,parts_compartment,parts_floor,parts_shelve,parts_list,parts_box,parts_row,global_fits_on_make_new,global_fits_on_model_new,global_fits_on_year_new,MPN
,wp-150sx2016,150 SX 2016,"{""KTM"":{""150 SX"":[""2016""]}}",2016,KTM,150 SX,,,,KTM 150 (SX) 2016-2016,,,,,,,,,,F6101P1
,wp-150sx2017,150 SX 2017,"{""KTM"":{""150 SX"":[""2017""]}}",2017,KTM,150 SX,,,,KTM 150 (SX) 2017-2017,,,,,,,,,,F6101Q1
,wp-150sx2018,150 SX 2018,"{""KTM"":{""150 SX"":[""2018""]}}",2018,KTM,150 SX,,,,KTM 150 (SX) 2018-2018,,,,,,,,,,F6101R1
,wp-150sx2019,150 SX 2019,"{""KTM"":{""150 SX"":[""2019""]}}",2019,KTM,150 SX,,,,KTM 150 (SX) 2019-2019,,,,,,,,,,F6101S1
,wp-150sx2020,150 SX 2020,"{""KTM"":{""150 SX"":[""2020""]}}",2020,KTM,150 SX,,,,KTM 150 (SX) 2020-2020,,,,,,,,,,F6101T1
,wp-150xc-w2017,150 XC-W 2017,"{""KTM"":{""150 XC-W"":[""2017""]}}",2017,KTM,150 XC-W,,,,KTM 150 (XC) 2017-2017,,,,,,,,,,F7101Q3
,wp-200duke2018,200 Duke 2018,"{""KTM"":{""200 DUKE"":[""2018""]}}",2018,KTM,200 DUKE,,,,KTM 200 (STREET) 2018-2018,,,,,,,,,,F4103R1
,wp-200duke2019,200 Duke 2019,"{""KTM"":{""200 DUKE"":[""2019""]}}",2019,KTM,200 DUKE,,,,KTM 200 (STREET) 2019-2019,,,,,,,,,,F4103S1
,wp-200duke2021,200 Duke 2021,"{""KTM"":{""200 DUKE"":[""2021""]}}",2021,KTM,200 DUKE,,,,KTM 200 (STREET) 2021-2021,,,,,,,,,,F4103U2
,wp-200duke2023,200 Duke 2023,"{""KTM"":{""200 DUKE"":[""2023""]}}",2023,KTM,200 DUKE,,,,KTM 200 (STREET) 2023-2023,,,,,,,,,,F4103W2
,wp-200duke2025,200 Duke 2025,"{""KTM"":{""200 DUKE"":[""2025""]}}",2025,KTM,200 DUKE,,,,KTM 200 (STREET) 2025-2025,,,,,,,,,,00JP1J1T
,wp-200duke2026,200 Duke 2026,"{""KTM"":{""200 DUKE"":[""2026""]}}",2026,KTM,200 DUKE,,,,KTM 200 (STREET) 2026-2026,,,,,,,,,,F4102Z2
,wp-200dukewoabs2023,200 Duke 2023,"{""KTM"":{""200 DUKE"":[""2023""]}}",2023,KTM,200 DUKE,,,,KTM 200 (STREET) 2023-2023,,,,,,,,,,F4103W4L
,wp-200exc2012,200 EXC 2012,"{""KTM"":{""200 EXC"":[""2012""]}}",2012,KTM,200 EXC,,,,KTM 200 (EXC) 2012-2012,,,,,,,,,,7203L6
,wp-200exc2015,200 EXC 2015,"{""KTM"":{""200 EXC"":[""2015""]}}",2015,KTM,200 EXC,,,,KTM 200 (EXC) 2015-2015,,,,,,,,,,F7203O6
,wp-200exc2016,200 EXC 2016,"{""KTM"":{""200 EXC"":[""2016""]}}",2016,KTM,200 EXC,,,,KTM 200 (EXC) 2016-2016,,,,,,,,,,F7203P6
,wp-2020dukewoabs2021,200 Duke 2021,"{""KTM"":{""200 DUKE"":[""2021""]}}",2021,KTM,200 DUKE,,,,KTM 200 (STREET) 2021-2021,,,,,,,,,,F4103U5
,wp-250adventure2021,250 Adventure 2021,"{""KTM"":{""250 ADVENTURE"":[""2021""]}}",2021,KTM,250 ADVENTURE,,,,KTM 250 (STREET) 2021-2021,,,,,,,,,,F5203U5
,wp-250adventure2022,250 Adventure 2022,"{""KTM"":{""250 ADVENTURE"":[""2022""]}}",2022,KTM,250 ADVENTURE,,,,KTM 250 (STREET) 2022-2022,,,,,,,,,,F5203V1
,wp-250duke2018,250 Duke 2018,"{""KTM"":{""250 DUKE"":[""2018""]}}",2018,KTM,250 DUKE,,,,KTM 250 (STREET) 2018-2018,,,,,,,,,,F4203R1
,wp-250duke2019,250 Duke 2019,"{""KTM"":{""250 DUKE"":[""2019""]}}",2019,KTM,250 DUKE,,,,KTM 250 (STREET) 2019-2019,,,,,,,,,,F4203S1
